"teamMemberCount","femaleTeamMembersPercent","teamLeadGender","teamDistribution","teamMemberResponseCount","meetingHoursTotal","meetingHoursAverage","meetingHoursStandardDeviation","inPersonMeetingHoursTotal","inPersonMeetingHoursAverage","inPersonMeetingHoursStandardDeviation","nonCodingDeliverablesHoursTotal","nonCodingDeliverablesHoursAverage","nonCodingDeliverablesHoursStandardDeviation","codingDeliverablesHoursTotal","codingDeliverablesHoursAverage","codingDeliverablesHoursStandardDeviation","helpHoursTotal","helpHoursAverage","helpHoursStandardDeviation","averageResponsesByWeek","standardDeviationResponsesByWeek","averageMeetingHoursTotalByWeek","standardDeviationMeetingHoursTotalByWeek","averageMeetingHoursAverageByWeek","standardDeviationMeetingHoursAverageByWeek","averageInPersonMeetingHoursTotalByWeek","standardDeviationInPersonMeetingHoursTotalByWeek","averageInPersonMeetingHoursAverageByWeek","standardDeviationInPersonMeetingHoursAverageByWeek","averageNonCodingDeliverablesHoursTotalByWeek","standardDeviationNonCodingDeliverablesHoursTotalByWeek","averageNonCodingDeliverablesHoursAverageByWeek","standardDeviationNonCodingDeliverablesHoursAverageByWeek","averageCodingDeliverablesHoursTotalByWeek","standardDeviationCodingDeliverablesHoursTotalByWeek","averageCodingDeliverablesHoursAverageByWeek","standardDeviationCodingDeliverablesHoursAverageByWeek","averageHelpHoursTotalByWeek","standardDeviationHelpHoursTotalByWeek","averageHelpHoursAverageByWeek","standardDeviationHelpHoursAverageByWeek","averageResponsesByStudent","standardDeviationResponsesByStudent","averageMeetingHoursTotalByStudent","standardDeviationMeetingHoursTotalByStudent","averageMeetingHoursAverageByStudent","standardDeviationMeetingHoursAverageByStudent","averageInPersonMeetingHoursTotalByStudent","standardDeviationInPersonMeetingHoursTotalByStudent","averageInPersonMeetingHoursAverageByStudent","standardDeviationInPersonMeetingHoursAverageByStudent","averageNonCodingDeliverablesHoursTotalByStudent","standardDeviationNonCodingDeliverablesHoursTotalByStudent","averageNonCodingDeliverablesHoursAverageByStudent","standardDeviationNonCodingDeliverablesHoursAverageByStudent","averageCodingDeliverablesHoursTotalByStudent","standardDeviationCodingDeliverablesHoursTotalByStudent","averageCodingDeliverablesHoursAverageByStudent","standardDeviationCodingDeliverablesHoursAverageByStudent","averageHelpHoursTotalByStudent","standardDeviationHelpHoursTotalByStudent","averageHelpHoursAverageByStudent","standardDeviationHelpHoursAverageByStudent","commitCount","uniqueCommitMessageCount","uniqueCommitMessagePercent","commitMessageLengthTotal","commitMessageLengthAverage","commitMessageLengthStandardDeviation","averageCommitCountByWeek","standardDeviationCommitCountByWeek","averageUniqueCommitMessageCountByWeek","standardDeviationUniqueCommitMessageCountByWeek","averageUniqueCommitMessagePercentByWeek","standardDeviationUniqueCommitMessagePercentByWeek","averageCommitMessageLengthTotalByWeek","standardDeviationCommitMessageLengthTotalByWeek","averageCommitCountByStudent","standardDeviationCommitCountByStudent","averageUniqueCommitMessageCountByStudent","issueCount","onTimeIssueCount","lateIssueCount","SE Process class"
"7","0","0","0","33","84","2.545455","0.882177","83.5","2.530303","1.127745","78","2.363636","1.985831","53","1.606061","3.590302","32.5","0.984848","1.573862","8.25","2.947457","21","9.246621","2.474451","0.203086","20.875","7.940206","2.500893","0.242757","19.5","14.908052","2.059547","0.957507","13.25","12.915591","2.241071","2.773482","8.125","1.43069","1.081593","0.366413","4.7143","0.451754","12","2.345208","2.614286","0.773542","11.928571","3.005098","2.621429","0.965792","11.142857","6.06344","2.489286","1.610671","7.571429","7.50442","1.567857","1.498613","4.642857","5.282818","1.078571","1.340005","195","96","0.4923","5720","29.3333","43.467957","32.5","21.12463","16.8333","8.394774","0.66031667","0.241222","953.3333","539.639283","27.8571","27.756227","14.4286","1","1","0","F"
"7","0.2857","0","0","34","80","2.352941","0.712591","50","1.470588","0.527775","83","2.441176","2.137772","57.5","1.691176","3.686252","19.5","0.573529","0.654536","6.8","3.249615","16","8.455767","2.269805","0.256622","10","5.830952","1.35974","0.259207","16.6","10.942577","2.450974","0.631842","11.5","10.77961","1.531494","1.582496","3.9","1.827567","0.658604","0.226122","4.8571","0.638877","11.428571","3.416646","2.32381","0.512065","7.142857","1.726149","1.466667","0.268594","11.857143","7.679817","2.421429","1.556979","8.214286","10.10607","1.858333","2.532515","2.785714","2.296848","0.564286","0.464999","82","67","0.8171","2215","27.0122","27.986274","11.7143","5.921252","10","5.345225","0.81672857","0.172592","316.4286","209.810702","16.4","16.847552","13.4","1","1","0","A"
"6","0","0","0","28","57","2.035714","0.399298","52.5","1.875","0.45562","88","3.142857","2.641892","50","1.785714","2.633671","19","0.678571","0.983927","7","1.732051","14.25","4.100305","2.025","0.216827","13.125","4.158951","1.854167","0.223413","22","8.100926","3.183333","1.181513","12.5","11.280514","2","1.940074","4.75","2.193741","0.65","0.129636","4.6667","0.471405","9.5","1.5","2.025","0.152069","8.75","2.036132","1.85","0.288675","14.666667","12.026591","3.0125","2.342708","8.333333","5.550275","1.7625","1.099218","3.166667","4.179979","0.65","0.832166","203","172","0.8473","9852","48.532","55.748226","22.5556","12.410668","19.6667","10.381608","0.88927778","0.12537","1094.6667","719.013676","33.8333","16.035551","29","1","1","0","A"
"6","0","0","0","30","88.5","2.95","1.24733","39","1.3","0.571548","43","1.433333","0.793025","23","0.766667","1.108553","22.5","0.75","0.615765","6","2.898275","17.7","10.684568","2.762381","0.903684","7.8","4.478839","1.238095","0.322705","8.6","5.151699","1.416667","0.365148","4.6","4.188078","0.662857","0.686129","4.5","3.316625","0.782381","0.390852","5","0.57735","14.75","2.268443","2.966667","0.434613","6.5","1.118034","1.302778","0.191586","7.166667","2.339278","1.416667","0.328718","3.833333","3.387067","0.769444","0.675526","3.75","1.406829","0.752778","0.277958","291","263","0.9038","17578","60.4055","48.64798","32.3333","22.36068","29.4444","20.629596","0.91258889","0.081539","1953.1111","1589.46535","48.5","51.393093","44.1667","1","1","0","A"
"6","0","0","0","25","68","2.72","2.362541","68","2.72","1.643654","77","3.08","2.621755","95.5","3.82","3.895844","26.5","1.06","1.19432","5","2.529822","13.6","9.420191","2.373333","1.007395","13.6","8.817029","2.462222","1.25819","15.4","9.728309","2.76","1.346997","19.1","13.690873","3.206667","2.285646","5.3","3.108054","1.024444","0.524247","4.1667","1.213352","11.333333","5.374838","2.672222","0.779937","11.333333","5.34374","2.622222","0.738032","12.833333","9.633564","2.755556","1.742568","15.916667","13.090762","3.425","2.406891","4.416667","3.678957","1.041667","0.819765","68","58","0.8529","1388","20.4118","13.092696","11.3333","11.542193","10.1667","11.231157","0.88398333","0.18161","231.3333","237.390443","13.6","16.847552","12","1","1","0","F"
"6","0.1667","0","0","30","74","2.466667","0.884433","35","1.166667","0.488763","75","2.5","1.643168","38","1.266667","2.22011","21.75","0.725","1.049504","6","3.521363","14.8","9.211949","2.371667","0.265707","7","4.012481","1.151667","0.142634","15","8.514693","2.748333","0.700999","7.6","6.019967","1.27","1.259383","4.35","3.44093","0.625","0.278887","5","0.57735","12.333333","3.184162","2.458333","0.490252","5.833333","1.674979","1.15","0.214087","12.5","5.909033","2.436111","1.034606","6.333333","5.617433","1.269444","1.111406","3.625","3.200749","0.734722","0.647152","264","219","0.8295","25636","97.1061","102.823271","44","6.78233","37","9.504385","0.8405","0.149833","4272.6667","1814.462883","44","52.472215","37","3","2","1","F"
"6","0.1667","0","0","28","92","3.285714","2.084931","47.9","1.710714","1.032798","76.5","2.732143","2.458521","39","1.392857","2.147911","30.5","1.089286","1.587077","4.6667","2.285218","15.333333","7.581044","3.319444","0.57618","7.983333","4.339899","1.723611","0.21465","12.75","7.83023","2.739583","2.379253","6.5","2.44949","1.684028","0.795169","5.083333","4.334135","1.204861","0.737003","4.6667","0.745356","15.333333","8.324996","3.211111","1.342595","7.983333","2.265993","1.741667","0.519949","12.75","8.503676","2.616667","1.257201","6.5","5.251984","1.302778","0.959476","5.083333","3.983473","1.194444","1.02477","244","215","0.8811","13396","54.9016","38.317999","27.1111","20.738823","24.4444","19.911533","0.91136667","0.133163","1488.4444","1433.42985","48.8","32.871872","43.4","3","3","0","A"
"3","0","0","1","14","63","4.5","11.286259","45.3","3.235714","7.435495","73.5","5.25","11.161157","5","0.357143","0.515079","8.75","0.625","0.822398","2.8","1.32665","12.6","16.981254","4.423667","5.592072","9.06","12.305869","3.078667","4.044458","14.7","15.318616","10.793333","17.108664","1","0.83666","0.433333","0.343188","1.75","1.457738","0.583333","0.32914","4.6667","0.471405","21","22.456439","5.079167","5.734366","15.1","13.011021","3.578333","3.391795","24.5","16.009112","5.183333","3.092284","1.666667","1.699673","0.333333","0.339935","2.916667","2.830881","0.583333","0.566176","214","123","0.5748","10203","47.6776","77.07445","35.6667","29.572885","22.1667","16.190704","0.69021667","0.171846","1700.5","2164.069835","30.5714","24.662621","18","8","5","3","F"
"3","0","0","1","13","27.2","2.092308","0.94581","25.5","1.961538","1.027722","20.9","1.607692","0.992636","17.4","1.338462","1.837029","2.9","0.223077","0.346197","3.25","0.433013","6.8","2.728553","2.04375","0.629853","6.375","2.678036","1.90625","0.582123","5.225","1.323584","1.627083","0.461556","4.35","3.516746","1.3875","1.200889","0.725","0.495606","0.2125","0.129301","4.3333","0.471405","9.066667","3.282614","2.038333","0.498771","8.5","3.741657","1.9","0.643234","6.966667","2.206556","1.676667","0.642201","5.8","2.209072","1.31","0.402741","0.966667","0.817856","0.226667","0.206774","79","71","0.8987","5739","72.6456","56.921673","13.1667","13.837349","12","11.647603","0.97083333","0.065219","956.5","694.799431","15.8","8.352245","14.2","2","2","0","F"
"3","0","0","1","16","94","5.875","2.712817","53","3.3125","1.927393","71","4.4375","2.7379","62.5","3.90625","5.09969","32","2","1","3.2","1.6","18.8","11.070682","5.466667","2.578544","10.6","5.2","3.266667","1.123487","14.2","7.782031","4.566667","0.81377","12.5","9.176056","3.733333","3.156299","6.4","4.029888","1.866667","0.805536","5.3333","0.471405","31.333333","5.557777","5.944444","1.320587","17.666667","6.128259","3.333333","1.247219","23.666667","4.109609","4.411111","0.442496","20.833333","6.510675","3.833333","0.834","10.666667","2.624669","1.988889","0.427164","101","78","0.7723","3686","36.495","51.295036","12.625","14.15042","10.25","12.132086","0.8421875","0.151118","460.75","580.542796","16.8333","14.25268","13.3333","12","10","2","F"
