"teamMemberCount","femaleTeamMembersPercent","teamLeadGender","teamDistribution","teamMemberResponseCount","meetingHoursTotal","meetingHoursAverage","meetingHoursStandardDeviation","inPersonMeetingHoursTotal","inPersonMeetingHoursAverage","inPersonMeetingHoursStandardDeviation","nonCodingDeliverablesHoursTotal","nonCodingDeliverablesHoursAverage","nonCodingDeliverablesHoursStandardDeviation","codingDeliverablesHoursTotal","codingDeliverablesHoursAverage","codingDeliverablesHoursStandardDeviation","helpHoursTotal","helpHoursAverage","helpHoursStandardDeviation","averageResponsesByWeek","standardDeviationResponsesByWeek","averageMeetingHoursTotalByWeek","standardDeviationMeetingHoursTotalByWeek","averageMeetingHoursAverageByWeek","standardDeviationMeetingHoursAverageByWeek","averageInPersonMeetingHoursTotalByWeek","standardDeviationInPersonMeetingHoursTotalByWeek","averageInPersonMeetingHoursAverageByWeek","standardDeviationInPersonMeetingHoursAverageByWeek","averageNonCodingDeliverablesHoursTotalByWeek","standardDeviationNonCodingDeliverablesHoursTotalByWeek","averageNonCodingDeliverablesHoursAverageByWeek","standardDeviationNonCodingDeliverablesHoursAverageByWeek","averageCodingDeliverablesHoursTotalByWeek","standardDeviationCodingDeliverablesHoursTotalByWeek","averageCodingDeliverablesHoursAverageByWeek","standardDeviationCodingDeliverablesHoursAverageByWeek","averageHelpHoursTotalByWeek","standardDeviationHelpHoursTotalByWeek","averageHelpHoursAverageByWeek","standardDeviationHelpHoursAverageByWeek","averageResponsesByStudent","standardDeviationResponsesByStudent","averageMeetingHoursTotalByStudent","standardDeviationMeetingHoursTotalByStudent","averageMeetingHoursAverageByStudent","standardDeviationMeetingHoursAverageByStudent","averageInPersonMeetingHoursTotalByStudent","standardDeviationInPersonMeetingHoursTotalByStudent","averageInPersonMeetingHoursAverageByStudent","standardDeviationInPersonMeetingHoursAverageByStudent","averageNonCodingDeliverablesHoursTotalByStudent","standardDeviationNonCodingDeliverablesHoursTotalByStudent","averageNonCodingDeliverablesHoursAverageByStudent","standardDeviationNonCodingDeliverablesHoursAverageByStudent","averageCodingDeliverablesHoursTotalByStudent","standardDeviationCodingDeliverablesHoursTotalByStudent","averageCodingDeliverablesHoursAverageByStudent","standardDeviationCodingDeliverablesHoursAverageByStudent","averageHelpHoursTotalByStudent","standardDeviationHelpHoursTotalByStudent","averageHelpHoursAverageByStudent","standardDeviationHelpHoursAverageByStudent","commitCount","uniqueCommitMessageCount","uniqueCommitMessagePercent","commitMessageLengthTotal","commitMessageLengthAverage","commitMessageLengthStandardDeviation","averageCommitCountByWeek","standardDeviationCommitCountByWeek","averageUniqueCommitMessageCountByWeek","standardDeviationUniqueCommitMessageCountByWeek","averageUniqueCommitMessagePercentByWeek","standardDeviationUniqueCommitMessagePercentByWeek","averageCommitMessageLengthTotalByWeek","standardDeviationCommitMessageLengthTotalByWeek","averageCommitCountByStudent","standardDeviationCommitCountByStudent","averageUniqueCommitMessageCountByStudent","issueCount","onTimeIssueCount","lateIssueCount","SE Process grade"
"6","0.1667","0","0","36","126","3.5","1.936492","61.5","1.708333","1.741547","106","2.944444","7.48682","363","10.083333","8.810899","58","1.611111","2.085369","18","6","63","22","3.479167","0.0625","30.75","16.75","1.572917","0.40625","53","34","2.604167","1.020833","181.5","72.5","9.833333","0.75","29","16","1.479167","0.395833","6","1.154701","21","8.041559","3.424603","1.173242","10.25","4.180809","1.640873","0.433853","17.666667","19.014614","3.092857","3.810777","60.5","38.413322","10.140873","6.305526","9.666667","10.450944","1.538095","1.470496","129","127","0.9845","17045","132.1318","104.24601","43","8.640988","42.3333","9.104334","0.98193333","0.012834","5681.6667","1154.784925","21.5","25.876308","21.1667","1","1","0","F"
"6","0.1667","0","0","31","74.95","2.417742","1.007116","29.7","0.958065","0.712458","34.5","1.112903","0.904377","116.1","3.745161","3.736467","40","1.290323","1.330621","15.5","6.5","37.475","17.225","2.368182","0.118182","14.85","9.85","0.839141","0.283586","17.25","9.75","1.030303","0.19697","58.05","16.05","4.017424","0.649242","20","9","1.270202","0.04798","5.1667","1.57233","12.491667","5.214596","2.376389","0.832693","4.95","2.347871","0.909127","0.229982","5.75","2.968586","1.117063","0.380482","19.35","20.5778","3.354365","3.084236","6.666667","4.792935","1.366071","0.89267","100","93","0.93","6479","64.79","34.083807","33.3333","13.02135","31.6667","11.785113","0.96156667","0.038414","2159.6667","806.560737","20","15.086418","18.8","2","2","0","A"
"3","0","0","1","14","30.65","2.189286","2.50244","21.5","1.535714","1.043077","28","2","2","75","5.357143","9.081828","4.5","0.321429","0.447499","7","0","15.325","9.675","2.189286","1.382143","10.75","3.75","1.535714","0.535714","14","2","2","0.285714","37.5","30","5.357143","4.285714","2.25","0.75","0.321429","0.107143","4.6667","0.471405","10.216667","0.872098","2.220833","0.352422","7.166667","3.472111","1.5","0.637704","9.333333","8.498366","1.883333","1.683416","25","21.463147","5.233333","4.184362","1.5","1.080123","0.308333","0.2085","40","31","0.775","1813","45.325","66.399694","13.3333","9.809293","10.6667","7.133645","0.88286667","0.118796","604.3333","614.157598","6.6667","4.068852","5.3333","2","1","1","F"
"3","0","0","1","8","13","1.625","0.484123","11","1.375","0.484123","14","1.75","0.968246","39","4.875","3.333073","2","0.25","0.433013","4","0","6.5","0.5","1.625","0.125","5.5","0.5","1.375","0.125","7","1","1.75","0.25","19.5","2.5","4.875","0.625","1","1","0.25","0.25","4","1","6.5","0.5","1.7","0.3","5.5","1.5","1.366667","0.033333","7","2","1.733333","0.066667","19.5","5.5","5.566667","2.766667","1","0","0.266667","0.066667","25","25","1","2234","89.36","49.999104","8.3333","9.672412","8.3333","9.672412","1","0","744.6667","850.820127","6.25","3.269174","6.25","2","1","1","F"
"3","0","0","1","16","78","4.875","3.550968","39","2.4375","1.184206","64","4","3.905125","75","4.6875","2.887879","36","2.25","2.277608","8","2","39","23","4.433333","1.766667","19.5","7","2.366667","0.283333","32","15","3.766667","0.933333","37.5","15.5","4.483333","0.816667","18","9","2.1","0.6","5.3333","0.471405","26","6.683313","4.811111","0.830142","13","5.887841","2.388889","0.984447","21.333333","13.888444","3.955556","2.660734","25","7.118052","4.788889","1.619404","12","7.788881","2.166667","1.302135","14","6","0.4286","356","25.4286","10.14688","7","4","3.5","2.5","0.4394","0.1061","178","103","4.6667","3.091206","2","6","5","1","F"
"7","0.1429","0","0","25","46.571429","1.862857","1.433318","28.571429","1.142857","1.156547","48.428572","1.937143","1.547126","320.000001","12.8","17.866348","42.428572","1.697143","2.028398","5","2.898275","9.314286","6.64149","1.614286","0.577397","5.714286","4.495803","0.994286","0.291036","9.685714","7.354244","1.637143","0.830127","64","50.461462","10.925714","8.837445","8.485714","9.093438","1.297143","0.740788","3.5714","0.903508","6.653061","3.093167","1.862245","0.716037","4.081633","3.007141","1.058844","0.674164","6.918367","4.339027","1.791837","0.907375","45.714286","67.387613","10.861905","13.288023","6.061225","4.119821","1.92585","1.718463","128","100","0.7813","6681","52.1953","37.354313","42.6667","29.825418","33.6667","22.939534","0.84786667","0.108336","2227","1528.450414","18.2857","15.191297","14.4286","1","0","1","A"
"7","0.1429","0","0","28","67.57143","2.413265","5.851478","39.642858","1.415816","1.69887","42.071429","1.502551","1.547195","84.57143","3.020408","3.678918","32.285715","1.153061","1.0177","5.6","2.57682","13.514286","3.148826","2.839127","1.016622","7.928572","4.134968","1.572183","0.845729","8.414286","5.323878","1.497976","0.73502","16.914286","9.977362","2.956667","1.153121","6.457143","4.06016","1.095317","0.49913","4","1.069045","9.653061","6.413296","2.214286","1.039918","5.663265","2.987514","1.358163","0.433483","6.010204","3.760394","1.44898","0.727144","12.081633","10.207143","2.89898","2.16635","4.612245","2.780308","1.101361","0.556078","136","117","0.8603","4107","30.1985","17.686743","45.3333","9.030811","39.3333","7.408704","0.86963333","0.011478","1369","254.166612","34","37.26929","29.25","1","0","1","F"
"7","0.1429","0","0","25","118.571429","4.742857","6.329107","77.571429","3.102857","5.626509","35.142857","1.405714","1.296148","136.714286","5.468571","7.680208","93.285715","3.731429","6.933513","5","1.67332","23.714286","16.423726","4.380952","2.823812","15.514286","13.176231","2.86381","2.01006","7.028571","5.660749","1.207619","0.844551","27.342857","19.708819","5.095238","3.737951","18.657143","13.547076","3.409524","2.467759","3.5714","0.494872","16.938776","12.890401","4.627551","3.45354","11.081633","10.228827","2.984694","2.527054","5.020408","2.826807","1.437075","0.938304","19.530612","15.970219","5.583333","4.570751","13.326531","13.224175","3.862245","4.14675","55","53","0.9636","3386","61.5636","36.73827","18.3333","6.944222","18","6.97615","0.98146667","0.02621","1128.6667","314.539169","13.75","3.832427","13.25","1","0","1","A"
"6","0.1667","0","0","21","29.642857","1.411565","1.615542","28.071429","1.336735","1.626732","22.5","1.071429","1.701673","68.214287","3.248299","5.272614","14.142857","0.673469","1.376841","4.2","0.979796","5.928571","4.276657","1.308333","0.720276","5.614286","4.105149","1.246429","0.730739","4.5","3.933633","1.032143","0.920305","13.642857","7.708728","3.077381","1.598283","2.828571","1.671856","0.630952","0.215604","3.5","0.763763","4.940476","1.469889","1.455952","0.516313","4.678571","1.193627","1.381349","0.440423","3.75","2.824742","1.036111","0.638315","11.369048","7.917132","3.611905","2.789875","2.357143","2.002974","0.709524","0.64836","43","43","1","4523","105.186","126.758745","14.3333","6.236096","14.3333","6.236096","1","0","1507.6667","1089.793966","7.1667","4.740488","7.1667","1","1","0","A"
"7","0.1429","0","0","25","51.857144","2.074286","1.876166","44.857143","1.794286","1.918333","29","1.16","1.466424","83.57143","3.342857","4.03901","14.785714","0.591429","0.774597","5","1.264911","10.371429","6.878301","1.948027","1.296879","8.971429","4.716796","1.713742","0.906249","5.8","4.863525","1.157823","0.968396","16.714286","7.954975","3.117551","1.466197","2.957143","1.59949","0.587075","0.317166","3.5714","1.17803","7.408163","2.084831","2.133674","0.352763","6.408163","2.366467","1.813605","0.297394","4.142857","2.181288","1.216327","0.839658","11.938776","9.488326","3.593878","2.751399","2.112245","1.94751","0.55","0.478838","69","67","0.971","5686","82.4058","58.589537","23","11.224972","22.3333","11.671428","0.95303333","0.037172","1895.3333","1208.469096","11.5","7.455423","11.1667","1","0","1","A"
