"teamMemberCount","femaleTeamMembersPercent","teamLeadGender","teamDistribution","teamMemberResponseCount","meetingHoursTotal","meetingHoursAverage","meetingHoursStandardDeviation","inPersonMeetingHoursTotal","inPersonMeetingHoursAverage","inPersonMeetingHoursStandardDeviation","nonCodingDeliverablesHoursTotal","nonCodingDeliverablesHoursAverage","nonCodingDeliverablesHoursStandardDeviation","codingDeliverablesHoursTotal","codingDeliverablesHoursAverage","codingDeliverablesHoursStandardDeviation","helpHoursTotal","helpHoursAverage","helpHoursStandardDeviation","averageResponsesByWeek","standardDeviationResponsesByWeek","averageMeetingHoursTotalByWeek","standardDeviationMeetingHoursTotalByWeek","averageMeetingHoursAverageByWeek","standardDeviationMeetingHoursAverageByWeek","averageInPersonMeetingHoursTotalByWeek","standardDeviationInPersonMeetingHoursTotalByWeek","averageInPersonMeetingHoursAverageByWeek","standardDeviationInPersonMeetingHoursAverageByWeek","averageNonCodingDeliverablesHoursTotalByWeek","standardDeviationNonCodingDeliverablesHoursTotalByWeek","averageNonCodingDeliverablesHoursAverageByWeek","standardDeviationNonCodingDeliverablesHoursAverageByWeek","averageCodingDeliverablesHoursTotalByWeek","standardDeviationCodingDeliverablesHoursTotalByWeek","averageCodingDeliverablesHoursAverageByWeek","standardDeviationCodingDeliverablesHoursAverageByWeek","averageHelpHoursTotalByWeek","standardDeviationHelpHoursTotalByWeek","averageHelpHoursAverageByWeek","standardDeviationHelpHoursAverageByWeek","averageResponsesByStudent","standardDeviationResponsesByStudent","averageMeetingHoursTotalByStudent","standardDeviationMeetingHoursTotalByStudent","averageMeetingHoursAverageByStudent","standardDeviationMeetingHoursAverageByStudent","averageInPersonMeetingHoursTotalByStudent","standardDeviationInPersonMeetingHoursTotalByStudent","averageInPersonMeetingHoursAverageByStudent","standardDeviationInPersonMeetingHoursAverageByStudent","averageNonCodingDeliverablesHoursTotalByStudent","standardDeviationNonCodingDeliverablesHoursTotalByStudent","averageNonCodingDeliverablesHoursAverageByStudent","standardDeviationNonCodingDeliverablesHoursAverageByStudent","averageCodingDeliverablesHoursTotalByStudent","standardDeviationCodingDeliverablesHoursTotalByStudent","averageCodingDeliverablesHoursAverageByStudent","standardDeviationCodingDeliverablesHoursAverageByStudent","averageHelpHoursTotalByStudent","standardDeviationHelpHoursTotalByStudent","averageHelpHoursAverageByStudent","standardDeviationHelpHoursAverageByStudent","commitCount","uniqueCommitMessageCount","uniqueCommitMessagePercent","commitMessageLengthTotal","commitMessageLengthAverage","commitMessageLengthStandardDeviation","averageCommitCountByWeek","standardDeviationCommitCountByWeek","averageUniqueCommitMessageCountByWeek","standardDeviationUniqueCommitMessageCountByWeek","averageUniqueCommitMessagePercentByWeek","standardDeviationUniqueCommitMessagePercentByWeek","averageCommitMessageLengthTotalByWeek","standardDeviationCommitMessageLengthTotalByWeek","averageCommitCountByStudent","standardDeviationCommitCountByStudent","averageUniqueCommitMessageCountByStudent","issueCount","onTimeIssueCount","lateIssueCount","SE Process grade"
"7","0","0","0","33","84","2.545455","0.882177","83.5","2.530303","1.127745","78","2.363636","1.985831","53","1.606061","3.590302","32.5","0.984848","1.573862","8.25","2.947457","21","9.246621","2.474451","0.203086","20.875","7.940206","2.500893","0.242757","19.5","14.908052","2.059547","0.957507","13.25","12.915591","2.241071","2.773482","8.125","1.43069","1.081593","0.366413","4.7143","0.451754","12","2.345208","2.614286","0.773542","11.928571","3.005098","2.621429","0.965792","11.142857","6.06344","2.489286","1.610671","7.571429","7.50442","1.567857","1.498613","4.642857","5.282818","1.078571","1.340005","145","70","0.4828","3674","25.3379","38.849883","36.25","20.668515","18.5","7.826238","0.61825","0.222082","918.5","456.130738","20.7143","24.51655","10.7143","1","1","0","F"
"7","0.2857","0","0","34","80","2.352941","0.712591","50","1.470588","0.527775","83","2.441176","2.137772","57.5","1.691176","3.686252","19.5","0.573529","0.654536","6.8","3.249615","16","8.455767","2.269805","0.256622","10","5.830952","1.35974","0.259207","16.6","10.942577","2.450974","0.631842","11.5","10.77961","1.531494","1.582496","3.9","1.827567","0.658604","0.226122","4.8571","0.638877","11.428571","3.416646","2.32381","0.512065","7.142857","1.726149","1.466667","0.268594","11.857143","7.679817","2.421429","1.556979","8.214286","10.10607","1.858333","2.532515","2.785714","2.296848","0.564286","0.464999","62","49","0.7903","1714","27.6452","31.528327","12.4","6.858571","10","6.292853","0.74342","0.151306","342.8","240.754148","12.4","11.128342","9.8","1","1","0","A"
"6","0","0","0","28","57","2.035714","0.399298","52.5","1.875","0.45562","88","3.142857","2.641892","50","1.785714","2.633671","19","0.678571","0.983927","7","1.732051","14.25","4.100305","2.025","0.216827","13.125","4.158951","1.854167","0.223413","22","8.100926","3.183333","1.181513","12.5","11.280514","2","1.940074","4.75","2.193741","0.65","0.129636","4.6667","0.471405","9.5","1.5","2.025","0.152069","8.75","2.036132","1.85","0.288675","14.666667","12.026591","3.0125","2.342708","8.333333","5.550275","1.7625","1.099218","3.166667","4.179979","0.65","0.832166","148","118","0.7973","6292","42.5135","49.676043","21.1429","13.537552","17.4286","10.499757","0.85764286","0.12532","898.8571","697.59084","24.6667","13.274872","20","1","1","0","A"
"6","0","0","0","30","88.5","2.95","1.24733","39","1.3","0.571548","43","1.433333","0.793025","23","0.766667","1.108553","22.5","0.75","0.615765","6","2.898275","17.7","10.684568","2.762381","0.903684","7.8","4.478839","1.238095","0.322705","8.6","5.151699","1.416667","0.365148","4.6","4.188078","0.662857","0.686129","4.5","3.316625","0.782381","0.390852","5","0.57735","14.75","2.268443","2.966667","0.434613","6.5","1.118034","1.302778","0.191586","7.166667","2.339278","1.416667","0.328718","3.833333","3.387067","0.769444","0.675526","3.75","1.406829","0.752778","0.277958","202","186","0.9208","10685","52.896","43.919414","28.8571","23.829325","26.8571","22.280219","0.9276","0.085614","1526.4286","1438.612909","33.6667","38.659482","31.3333","1","1","0","A"
"6","0","0","0","25","68","2.72","2.362541","68","2.72","1.643654","77","3.08","2.621755","95.5","3.82","3.895844","26.5","1.06","1.19432","5","2.529822","13.6","9.420191","2.373333","1.007395","13.6","8.817029","2.462222","1.25819","15.4","9.728309","2.76","1.346997","19.1","13.690873","3.206667","2.285646","5.3","3.108054","1.024444","0.524247","4.1667","1.213352","11.333333","5.374838","2.672222","0.779937","11.333333","5.34374","2.622222","0.738032","12.833333","9.633564","2.755556","1.742568","15.916667","13.090762","3.425","2.406891","4.416667","3.678957","1.041667","0.819765","62","55","0.8871","1309","21.1129","13.444156","12.4","12.370934","11.6","11.791522","0.96078","0.064749","261.8","249.109936","12.4","14.472042","11.4","1","1","0","F"
"6","0.1667","0","0","30","74","2.466667","0.884433","35","1.166667","0.488763","75","2.5","1.643168","38","1.266667","2.22011","21.75","0.725","1.049504","6","3.521363","14.8","9.211949","2.371667","0.265707","7","4.012481","1.151667","0.142634","15","8.514693","2.748333","0.700999","7.6","6.019967","1.27","1.259383","4.35","3.44093","0.625","0.278887","5","0.57735","12.333333","3.184162","2.458333","0.490252","5.833333","1.674979","1.15","0.214087","12.5","5.909033","2.436111","1.034606","6.333333","5.617433","1.269444","1.111406","3.625","3.200749","0.734722","0.647152","170","126","0.7412","12641","74.3588","92.718331","42.5","5.5","32.25","5.629165","0.76715","0.132107","3160.25","1106.449587","28.3333","31.008959","21.5","2","1","1","F"
"6","0.1667","0","0","28","92","3.285714","2.084931","47.9","1.710714","1.032798","76.5","2.732143","2.458521","39","1.392857","2.147911","30.5","1.089286","1.587077","4.6667","2.285218","15.333333","7.581044","3.319444","0.57618","7.983333","4.339899","1.723611","0.21465","12.75","7.83023","2.739583","2.379253","6.5","2.44949","1.684028","0.795169","5.083333","4.334135","1.204861","0.737003","4.6667","0.745356","15.333333","8.324996","3.211111","1.342595","7.983333","2.265993","1.741667","0.519949","12.75","8.503676","2.616667","1.257201","6.5","5.251984","1.302778","0.959476","5.083333","3.983473","1.194444","1.02477","159","138","0.8679","7966","50.1006","39.917556","22.7143","21.571902","20","20.514803","0.90251429","0.148762","1138","1440.371182","31.8","26.270896","28","1","1","0","A"
"3","0","0","1","14","63","4.5","11.286259","45.3","3.235714","7.435495","73.5","5.25","11.161157","5","0.357143","0.515079","8.75","0.625","0.822398","2.8","1.32665","12.6","16.981254","4.423667","5.592072","9.06","12.305869","3.078667","4.044458","14.7","15.318616","10.793333","17.108664","1","0.83666","0.433333","0.343188","1.75","1.457738","0.583333","0.32914","4.6667","0.471405","21","22.456439","5.079167","5.734366","15.1","13.011021","3.578333","3.391795","24.5","16.009112","5.183333","3.092284","1.666667","1.699673","0.333333","0.339935","2.916667","2.830881","0.583333","0.566176","175","95","0.5429","8442","48.24","79.089314","43.75","33.176611","25.5","18.887827","0.623175","0.159291","2110.5","2520.318879","25","21.28044","14","6","4","2","F"
"3","0","0","1","13","27.2","2.092308","0.94581","25.5","1.961538","1.027722","20.9","1.607692","0.992636","17.4","1.338462","1.837029","2.9","0.223077","0.346197","3.25","0.433013","6.8","2.728553","2.04375","0.629853","6.375","2.678036","1.90625","0.582123","5.225","1.323584","1.627083","0.461556","4.35","3.516746","1.3875","1.200889","0.725","0.495606","0.2125","0.129301","4.3333","0.471405","9.066667","3.282614","2.038333","0.498771","8.5","3.741657","1.9","0.643234","6.966667","2.206556","1.676667","0.642201","5.8","2.209072","1.31","0.402741","0.966667","0.817856","0.226667","0.206774","55","47","0.8545","3540","64.3636","57.860133","13.75","15.368393","12","12.389512","0.95625","0.075777","885","595.585007","11","5.966574","9.4","1","1","0","F"
"3","0","0","1","16","94","5.875","2.712817","53","3.3125","1.927393","71","4.4375","2.7379","62.5","3.90625","5.09969","32","2","1","3.2","1.6","18.8","11.070682","5.466667","2.578544","10.6","5.2","3.266667","1.123487","14.2","7.782031","4.566667","0.81377","12.5","9.176056","3.733333","3.156299","6.4","4.029888","1.866667","0.805536","5.3333","0.471405","31.333333","5.557777","5.944444","1.320587","17.666667","6.128259","3.333333","1.247219","23.666667","4.109609","4.411111","0.442496","20.833333","6.510675","3.833333","0.834","10.666667","2.624669","1.988889","0.427164","90","72","0.8","3405","37.8333","54.039954","12.8571","15.113178","10.8571","12.855555","0.88457143","0.108296","486.4286","616.361874","15","13.784049","12.3333","6","5","1","F"
